sex	agedays	age	t1	t2	t3	t4	d1	d2	d3	d4
1	2531	6	2	3	2	2	0	1	0	0
1	2583	7	2	2	1	3	0	0	1	1
1	2582	7	2	2	2	2	0	0	0	0
1	2379	6	2	2	2	2	0	0	0	0
1	2408	6	2	2	2	2	0	0	0	0
1	1967	5	2	2	2	2	0	0	0	0
2	2652	7	2	2	2	2	0	0	0	0
2	2566	7	2	2	2	2	0	0	0	0
2	2444	6	2	2	2	2	0	0	0	0
2	2413	6	2	3	3	2	0	1	0	0
2	2338	6	2	2	2	2	0	0	0	0
1	2733	7	2	2	2	2	0	0	0	0
1	3304	9	2	2	2	2	0	0	0	0
1	2969	8	2	2	2	2	0	0	0	0
1	2965	8	2	2	2	2	0	0	0	0
1	2930	8	2	2	2	2	0	0	0	0
1	2778	7	2	2	2	2	0	0	0	0
1	2779	7	2	2	2	2	0	0	0	0
2	3043	8	2	2	2	2	0	0	0	0
2	2993	8	2	2	2	2	0	0	0	0
2	2814	7	2	2	2	2	0	0	0	0
2	2742	7	2	2	2	2	0	0	0	0
1	3338	9	1	3	1	3	1	1	1	1
1	3604	9	1	3	1	3	1	1	1	1
1	3453	9	2	2	2	2	0	0	0	0
1	3236	8	2	2	2	2	0	0	0	0
2	3260	8	2	2	2	2	0	0	0	0
2	3189	8	1	3	1	3	1	1	1	1
1	3875	10	2	3	2	2	0	1	0	0
1	3532	9	2	2	2	2	0	0	0	0
1	3726	10	2	2	2	2	0	0	0	0
1	3548	9	1	3	1	3	1	1	1	1
1	3618	9	1	3	1	3	1	1	1	1
1	3588	9	2	2	2	2	0	0	0	0
1	3895	10	1	3	1	3	1	1	1	1
1	3669	10	1	3	1	3	1	1	1	1
2	3673	10	1	3	1	3	1	1	1	1
2	3447	9	1	3	1	3	1	1	1	1
2	3650	9	2	2	3	2	0	0	0	0
2	3494	9	1	3	2	3	1	1	0	1
2	3479	9	2	2	2	2	0	0	0	0
2	3522	9	1	3	1	3	1	1	1	1
2	3542	9	1	3	1	3	1	1	1	1
2	4058	11	1	3	1	3	1	1	1	1
2	3644	9	1	2	2	3	1	0	0	1
2	3663	10	2	2	2	2	0	0	0	0
2	3645	9	2	2	2	2	0	0	0	0
2	3690	10	1	2	1	3	1	0	1	1
1	4060	11	1	3	2	2	1	1	0	0
1	3999	10	2	2	2	2	0	0	0	0
1	3966	10	1	3	1	3	1	1	1	1
2	3934	10	1	3	1	3	1	1	1	1
2	4312	11	2	2	2	2	0	0	0	0
2	3968	10	1	2	1	3	1	0	1	1
2	3825	10	1	3	1	3	1	1	1	1
2	3947	10	2	2	2	2	0	0	0	0
1	4834	13	1	3	1	3	1	1	1	1
1	4379	11	1	3	1	3	1	1	1	1
1	4763	13	1	3	1	3	1	1	1	1
1	4502	12	1	2	1	2	1	0	1	0
1	4333	11	1	3	3	3	1	1	0	1
1	4725	12	1	3	1	3	1	1	1	1
1	4211	11	2	3	2	2	0	1	0	0
2	4171	11	1	3	1	3	1	1	1	1
2	4512	12	1	2	2	2	1	0	0	0
1	2929	8	2	2	2	2	0	0	0	0
1	2990	8	2	2	2	2	0	0	0	0
1	2866	7	2	2	2	2	0	0	0	0
1	3069	8	2	2	2	2	0	0	0	0
1	2799	7	2	2	2	2	0	0	0	0
1	3026	8	2	3	1	3	0	1	1	1
1	3039	8	3	3	3	3	0	1	0	1
1	2851	7	2	3	3	3	0	1	0	1
1	2578	7	2	2	2	2	0	0	0	0
1	3109	8	1	3	1	3	1	1	1	1
1	2978	8	2	2	2	2	0	0	0	0
1	2748	7	2	2	2	2	0	0	0	0
1	3135	8	2	2	2	2	0	0	0	0
1	2936	8	1	3	1	3	1	1	1	1
2	3034	8	2	2	2	2	0	0	0	0
2	2737	7	2	2	2	2	0	0	0	0
2	2800	7	2	3	2	3	0	1	0	1
2	3136	8	2	2	2	2	0	0	0	0
2	2806	7	2	2	2	2	0	0	0	0
2	2939	8	1	3	1	3	1	1	1	1
2	2728	7	1	3	1	3	1	1	1	1
2	3328	9	1	3	1	3	1	1	1	1
2	2880	7	1	3	3	3	1	1	0	1
2	2840	7	2	2	2	2	0	0	0	0
2	3039	8	2	2	2	2	0	0	0	0
2	2840	7	2	2	3	2	0	0	0	0
2	2971	8	2	2	2	2	0	0	0	0
2	2879	7	2	2	2	2	0	0	0	0
2	2820	7	2	3	2	3	0	1	0	1
2	3338	9	1	3	1	2	1	1	1	0
1	3345	9	1	3	1	3	1	1	1	1
1	3322	9	2	2	2	2	0	0	0	0
1	3342	9	2	2	2	2	0	0	0	0
1	3438	9	2	3	2	3	0	1	0	1
1	3494	9	1	3	1	3	1	1	1	1
1	3252	8	2	2	2	2	0	0	0	0
1	3337	9	2	2	2	2	0	0	0	0
1	3463	9	1	3	1	3	1	1	1	1
1	3336	9	1	3	1	3	1	1	1	1
1	3264	8	2	1	3	2	0	0	0	0
1	3313	9	1	3	1	3	1	1	1	1
1	3319	9	2	2	2	2	0	0	0	0
1	3055	8	2	2	2	2	0	0	0	0
1	3263	8	2	2	2	2	0	0	0	0
1	3158	8	1	3	1	3	1	1	1	1
2	3230	8	2	2	2	2	0	0	0	0
2	3329	9	1	3	1	3	1	1	1	1
2	3344	9	1	3	1	3	1	1	1	1
2	3213	8	1	3	1	1	1	1	1	0
2	3347	9	2	2	2	2	0	0	0	0
2	3279	8	2	2	2	2	0	0	0	0
2	3226	8	2	2	2	2	0	0	0	0
2	3311	9	1	3	1	3	1	1	1	1
2	3363	9	2	3	2	2	0	1	0	0
2	3321	9	2	3	2	3	0	1	0	1
2	3266	8	1	3	1	3	1	1	1	1
2	3304	9	1	3	3	3	1	1	0	1
2	3277	8	2	2	2	2	0	0	0	0
2	3336	9	1	3	1	3	1	1	1	1
2	3115	8	2	3	2	3	0	1	0	1
2	3327	9	2	2	3	2	0	0	0	0
2	3362	9	2	3	3	3	0	1	0	1
2	3129	8	2	2	2	2	0	0	0	0
1	3687	10	1	3	1	3	1	1	1	1
1	3684	10	1	3	1	3	1	1	1	1
1	3653	10	1	3	1	3	1	1	1	1
1	3636	9	2	3	2	3	0	1	0	1
1	3458	9	1	3	1	3	1	1	1	1
1	3752	10	1	3	1	3	1	1	1	1
1	3783	10	2	2	2	2	0	0	0	0
1	3761	10	2	2	2	2	0	0	0	0
2	3918	10	1	3	1	3	1	1	1	1
2	3554	9	1	3	1	3	1	1	1	1
2	3710	10	1	3	1	3	1	1	1	1
2	3586	9	1	3	1	3	1	1	1	1
2	3564	9	1	3	1	3	1	1	1	1
2	3647	9	1	3	1	3	1	1	1	1
2	3821	10	2	2	2	2	0	0	0	0
2	3603	9	2	2	3	3	0	0	0	1
2	3586	9	1	3	2	3	1	1	0	1
2	3697	10	2	2	2	2	0	0	0	0
2	3645	9	2	2	2	2	0	0	0	0
2	3850	10	1	3	1	3	1	1	1	1
1	4001	10	1	3	1	3	1	1	1	1
1	4088	11	1	3	1	2	1	1	1	0
1	4056	11	2	2	2	2	0	0	0	0
1	3896	10	1	3	1	3	1	1	1	1
1	4015	10	1	3	1	3	1	1	1	1
1	4078	11	2	2	2	2	0	0	0	0
1	4093	11	1	3	1	3	1	1	1	1
1	4041	11	2	3	1	3	0	1	1	1
1	3905	10	2	2	1	3	0	0	1	1
2	3920	10	1	3	1	3	1	1	1	1
2	3869	10	1	3	1	2	1	1	1	0
2	4018	11	1	3	1	3	1	1	1	1
2	3977	10	1	3	1	3	1	1	1	1
2	3856	10	1	3	1	3	1	1	1	1
2	4033	11	2	1	1	3	0	0	1	1
2	3894	10	1	3	1	3	1	1	1	1
2	4460	12	2	2	2	2	0	0	0	0
2	4084	11	2	2	2	2	0	0	0	0
2	3885	10	1	3	1	3	1	1	1	1
2	4116	11	1	3	1	3	1	1	1	1
2	4483	12	1	3	1	3	1	1	1	1
2	4074	11	1	3	1	2	1	1	1	0
2	3884	10	1	3	1	3	1	1	1	1
1	4192	11	1	3	1	3	1	1	1	1
1	4301	11	2	2	2	2	0	0	0	0
1	4263	11	1	3	1	3	1	1	1	1
1	4846	13	1	3	2	3	1	1	0	1
1	4465	12	1	3	1	3	1	1	1	1
1	4537	12	1	3	1	3	1	1	1	1
1	4921	13	2	3	2	3	0	1	0	1
1	4684	12	1	3	1	3	1	1	1	1
1	4495	12	1	3	1	3	1	1	1	1
1	4332	11	1	3	1	3	1	1	1	1
1	4281	11	1	3	1	3	1	1	1	1
1	4246	11	1	3	1	3	1	1	1	1
2	4263	11	1	3	1	3	1	1	1	1
2	4593	12	1	3	1	3	1	1	1	1
2	4386	12	1	3	1	3	1	1	1	1
2	4353	11	1	3	1	3	1	1	1	1
2	4539	12	1	3	1	3	1	1	1	1
2	4377	11	1	3	1	3	1	1	1	1
2	4269	11	1	2	1	3	1	0	1	1
2	4678	12	1	3	1	3	1	1	1	1
2	4334	11	2	2	2	3	0	0	0	1
2	4286	11	1	3	1	3	1	1	1	1
2	4630	12	1	3	1	3	1	1	1	1
2	4391	12	1	3	1	3	1	1	1	1
2	4448	12	1	3	1	3	1	1	1	1
2	4501	12	1	3	1	3	1	1	1	1
2	4214	11	1	3	1	3	1	1	1	1
1	3639	9	1	3	1	3	1	1	1	1
1	3358	9	1	3	1	3	1	1	1	1
1	3326	9	2	2	2	2	0	0	0	0
1	3247	8	2	2	2	2	0	0	0	0
1	3367	9	1	3	1	3	1	1	1	1
1	3206	8	1	3	1	3	1	1	1	1
1	3382	9	2	2	2	2	0	0	0	0
1	3457	9	2	2	2	2	0	0	0	0
1	3740	10	2	2	2	3	0	0	0	1
1	3256	8	1	3	1	3	1	1	1	1
1	3398	9	1	3	1	3	1	1	1	1
2	3590	9	1	3	1	3	1	1	1	1
2	3288	9	1	3	1	3	1	1	1	1
2	3387	9	2	2	2	2	0	0	0	0
2	3343	9	2	2	2	2	0	0	0	0
2	3153	8	2	2	2	2	0	0	0	0
2	3484	9	1	3	1	3	1	1	1	1
2	3428	9	1	3	1	3	1	1	1	1
2	3570	9	1	3	1	3	1	1	1	1
2	3240	8	1	1	1	3	1	0	1	1
2	3407	9	2	2	2	2	0	0	0	0
1	3309	9	2	3	2	3	0	1	0	1
1	3051	8	2	2	2	2	0	0	0	0
1	2895	7	2	2	2	2	0	0	0	0
1	2927	8	2	2	2	2	0	0	0	0
1	2811	7	2	2	2	2	0	0	0	0
1	2776	7	2	2	2	2	0	0	0	0
1	2730	7	2	2	2	2	0	0	0	0
1	3077	8	2	2	2	2	0	0	0	0
1	3432	9	1	2	2	2	1	0	0	0
1	2888	7	2	2	2	2	0	0	0	0
1	3092	8	2	2	2	2	0	0	0	0
1	2856	7	2	2	2	3	0	0	0	1
1	3003	8	2	2	2	2	0	0	0	0
1	2891	7	2	2	2	2	0	0	0	0
1	3008	8	2	2	2	2	0	0	0	0
1	2757	7	2	3	1	3	0	1	1	1
2	3041	8	2	2	2	2	0	0	0	0
2	3133	8	2	2	2	2	0	0	0	0
2	3052	8	2	2	2	2	0	0	0	0
2	2759	7	1	3	1	3	1	1	1	1
2	3063	8	2	2	2	2	0	0	0	0
2	2905	7	2	2	2	2	0	0	0	0
2	2846	7	2	2	2	2	0	0	0	0
2	3213	8	2	2	2	2	0	0	0	0
1	4086	11	1	3	1	3	1	1	1	1
1	3933	10	2	2	2	2	0	0	0	0
1	4219	11	1	2	1	3	1	0	1	1
1	3828	10	1	3	1	3	1	1	1	1
1	4278	11	2	2	2	2	0	0	0	0
1	3976	10	1	3	1	3	1	1	1	1
1	3912	10	1	3	1	3	1	1	1	1
1	3952	10	1	3	1	3	1	1	1	1
1	4222	11	1	2	1	2	1	0	1	0
1	4315	11	2	3	1	3	0	1	1	1
1	4337	11	2	2	2	2	0	0	0	0
1	4199	11	1	3	1	3	1	1	1	1
1	3919	10	1	3	1	3	1	1	1	1
1	4093	11	2	2	2	2	0	0	0	0
1	4385	12	2	2	2	2	0	0	0	0
2	3839	10	2	2	2	2	0	0	0	0
2	3827	10	1	3	1	3	1	1	1	1
2	4306	11	2	3	2	2	0	1	0	0
2	4443	12	2	2	2	3	0	0	0	1
2	4008	10	1	3	1	1	1	1	1	0
2	4170	11	1	3	1	3	1	1	1	1
2	4429	12	1	3	1	3	1	1	1	1
2	4187	11	2	2	2	2	0	0	0	0
2	4118	11	1	3	1	3	1	1	1	1
2	4256	11	2	2	2	2	0	0	0	0
2	4036	11	1	3	1	3	1	1	1	1
2	3984	10	2	2	2	2	0	0	0	0
1	2968	8	2	2	2	2	0	0	0	0
1	2449	6	2	2	2	2	0	0	0	0
1	2444	6	2	2	2	2	0	0	0	0
1	2802	7	2	2	2	2	0	0	0	0
1	2698	7	2	2	2	2	0	0	0	0
1	2501	6	2	2	2	2	0	0	0	0
1	2746	7	2	2	2	2	0	0	0	0
1	2483	6	2	2	2	2	0	0	0	0
1	2958	8	2	2	2	2	0	0	0	0
1	2342	6	2	2	2	2	0	0	0	0
1	2525	6	2	2	2	2	0	0	0	0
2	2639	7	2	2	2	2	0	0	0	0
2	2644	7	2	2	2	2	0	0	0	0
2	2515	6	2	2	2	2	0	0	0	0
2	2573	7	2	2	2	2	0	0	0	0
2	2568	7	2	2	2	2	0	0	0	0
2	2509	6	2	2	2	2	0	0	0	0
2	2539	6	2	2	2	2	0	0	0	0
2	2630	7	2	2	2	2	0	0	0	0
2	2669	7	2	2	2	2	0	0	0	0
2	2701	7	2	2	2	2	0	0	0	0
2	2597	7	2	2	2	2	0	0	0	0
2	2646	7	2	2	2	2	0	0	0	0
2	4812	13	2	2	2	2	0	0	0	0
1	3707	10	3	1	3	1	0	0	0	0
1	4529	12	1	3	1	3	1	1	1	1
1	4640	12	2	3	1	3	0	1	1	1
1	4364	11	2	2	2	2	0	0	0	0
1	4440	12	2	2	2	2	0	0	0	0
1	4291	11	1	3	3	3	1	1	0	1
1	4178	11	2	2	2	2	0	0	0	0
1	4331	11	1	2	1	3	1	0	1	1
2	4502	12	3	1	3	1	0	0	0	0
2	4209	11	2	2	3	2	0	0	0	0
2	4569	12	2	2	1	3	0	0	1	1
2	4488	12	2	2	1	2	0	0	1	0
2	4261	11	1	3	1	3	1	1	1	1
2	4415	12	3	1	3	1	0	0	0	0
2	4328	11	3	1	3	1	0	0	0	0
2	4516	12	1	3	1	3	1	1	1	1
2	4399	12	2	2	1	2	0	0	1	0
2	4364	11	3	3	3	1	0	1	0	0
2	4399	12	2	2	2	2	0	0	0	0
1	3717	10	1	3	1	3	1	1	1	1
1	3934	10	1	2	1	3	1	0	1	1
1	3718	10	2	3	1	3	0	1	1	1
1	4094	11	2	2	2	2	0	0	0	0
1	3862	10	1	3	1	3	1	1	1	1
1	3644	9	1	3	1	3	1	1	1	1
1	3589	9	2	2	2	2	0	0	0	0
1	3591	9	2	2	2	3	0	0	0	1
1	3723	10	1	3	1	3	1	1	1	1
2	3731	10	1	3	1	3	1	1	1	1
2	3626	9	2	2	2	2	0	0	0	0
2	3645	9	1	3	1	3	1	1	1	1
2	3609	9	2	3	1	3	0	1	1	1
2	3937	10	2	2	2	2	0	0	0	0
2	3543	9	2	2	2	2	0	0	0	0
2	4022	11	1	3	1	3	1	1	1	1
2	3472	9	1	3	1	3	1	1	1	1
2	3938	10	1	1	1	3	1	0	1	1
2	3506	9	1	3	1	3	1	1	1	1
2	3776	10	1	3	1	3	1	1	1	1
2	3575	9	2	3	1	3	0	1	1	1
2	3918	10	1	3	1	3	1	1	1	1
2	4355	11	1	3	1	3	1	1	1	1
2	3691	10	1	3	1	3	1	1	1	1
1	3805	10	1	3	1	3	1	1	1	1
1	3851	10	2	2	2	2	0	0	0	0
1	3616	9	2	2	2	2	0	0	0	0
1	3908	10	2	2	2	2	0	0	0	0
1	3513	9	1	3	1	3	1	1	1	1
1	3941	10	2	2	2	2	0	0	0	0
1	3911	10	1	3	1	3	1	1	1	1
1	3638	9	2	2	2	2	0	0	0	0
1	3767	10	2	2	1	3	0	0	1	1
1	3839	10	1	3	1	3	1	1	1	1
1	3346	9	3	3	2	3	0	1	0	1
1	3764	10	1	3	1	3	1	1	1	1
2	3761	10	1	2	2	2	1	0	0	0
2	3593	9	2	2	2	2	0	0	0	0
2	3897	10	2	2	2	2	0	0	0	0
2	3569	9	1	3	1	3	1	1	1	1
2	3543	9	2	2	2	2	0	0	0	0
2	3471	9	1	3	2	3	1	1	0	1
2	3586	9	2	2	2	2	0	0	0	0
2	3695	10	2	2	2	2	0	0	0	0
2	3848	10	2	2	3	2	0	0	0	0
2	3730	10	2	2	2	2	0	0	0	0
2	4022	11	1	3	2	2	1	1	0	0
2	3781	10	1	3	1	3	1	1	1	1
2	3697	10	2	2	2	2	0	0	0	0
2	3942	10	2	3	2	2	0	1	0	0
2	3894	10	1	3	1	3	1	1	1	1
1	4326	11	2	2	2	2	0	0	0	0
1	4451	12	2	2	2	2	0	0	0	0
1	4435	12	2	2	2	2	0	0	0	0
